Accession	Taxid	Species_NCBI	Species_ICTV	Segment	Sequence_Type	Category	Topology	Molecule_type	Molecule_Type2	Length	Nuc_Completeness	GenBank_Title	Geo_Location	USA	Host	Isolation_Source	Collection_Date	Release_Date	NCBI_Status	Virus name(s)	VMR_Species	VMR_Family	VMR_Genus	Virus GENBANK accession	Genome coverage
NC_077014.1	2219873	Yerba mate-associated circular DNA virus 1	Yermavirus ilicis		RefSeq	NonSegmented_Complete	linear	ssDNA	DNA	2707	complete	Yerba mate-associated circular DNA virus 1 isolate Jardin America, complete genome	Argentina		Ilex paraguariensis		2017-03	2023-05-04		yerba mate-associated circular DNA virus		Amesuviridae	Yermavirus		
NC_077017.1	2304463	Naranjilla mild mosaic virus	Tymovirus quitoense		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	6348	complete	Naranjilla mild mosaic virus isolate Nar-21, complete genome	Ecuador		Solanum quitoense		2018-01-20	2023-05-04		naranjilla mild mosaic virus		Tymoviridae	Tymovirus		
NC_077027.1	2683823	Loquat virus A	Capillovirus alphaeriobotryae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	7553	complete	Loquat virus A, complete genome	China		Eriobotrya japonica		2018-03	2023-05-04		loquat virus A		Betaflexiviridae	Capillovirus		
NC_077040.1	2763538	Grapevine foveavirus A	Foveavirus alphavitis		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	8624	complete	Grapevine foveavirus A, complete genome	Switzerland		Vitis vinifera		2013	2023-05-04		grapevine foveavirus A		Betaflexiviridae	Foveavirus		
NC_077047.1	2801326	Kenyan potato cytorhabdovirus	Alphacytorhabdovirus kenyatuberosum		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	RNA	13131	complete	Kenyan potato cytorhabdovirus isolate 18-1062, complete genome	Kenya		Solanum tuberosum		2018-05	2023-05-04		Kenyan potato cytorhabdovirus		Rhabdoviridae	Alphacytorhabdovirus		
NC_077048.1	2713208	Sorghum almum marafivirus	Marafivirus sorghi		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	6138	complete	Sorghum almum marafivirus isolate SA-FL1, complete genome	USA: Florida	FL	Sorghum x almum		2016-04	2023-05-04		Sorghum almum marafivirus		Tymoviridae	Marafivirus		
NC_077052.1	2764701	Aconite virus A	Carlavirus alphaconiti		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	8866	complete	Aconite virus A strain HB, complete genome	China		Aconitum carmichaelii		2018-09	2023-05-04		aconite virus A		Betaflexiviridae	Carlavirus		
NC_077056.1	2791164	Camellia ringspot associated virus 4	Foveavirus tetracamelliae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	ss-RNA	8829	complete	Camellia ringspot associated virus 4 isolate Adolphe Audusson, complete genome	USA		Camellia japonica		2017-01-02	2023-05-04		camellia ringspot associated virus 4		Betaflexiviridae	Foveavirus		
NC_077059.1	2835563	Amomum potyvirus A	Amomum potyvirus A		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	8200	complete	Amomum potyvirus A isolate Won_8200 polyprotein (QKU40_gp1) gene, complete cds	India		Amomum subulatum		2019-11-19	2023-05-04							
NC_077068.1	2777710	Rose virus B	Carlavirus betarosae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	8845	complete	Rose virus B isolate R12, complete genome	USA		Rosa sp.		2019-07-10	2023-05-04		rose virus B		Betaflexiviridae	Carlavirus		
NC_077070.1	2838078	Agapanthus tungrovirus	Tungrovirus agapanthi		RefSeq	NonSegmented_Complete	circular	dsDNA-RT	RNA	7942	complete	Agapanthus tungrovirus isolate 19-3001, complete genome	South Africa		Agapanthus		2019-01-24	2023-05-04		Agapanthus tungro virus		Caulimoviridae	Tungrovirus		
NC_077071.1	2838077	Clivia carlavirus A	Carlavirus alphacliviae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	8412	complete	Clivia carlavirus A isolate 19-3040 RNA-dependent RNA polymerase (RdRp), triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), coat protein (CP), and nucleic acid binding protein (NABP) genes, complete cds	South Africa		Clivia miniata		2019-11-13	2023-05-04		Clivia carlavirus A		Betaflexiviridae	Carlavirus		
NC_077072.1	2838134	Clivia yellow stripe virus	Potyvirus cliviaflavilineae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	9800	complete	Clivia yellow stripe virus isolate 19-3026 polyprotein (QKU53_gp1) gene, complete cds	South Africa		Clivia miniata		2019-10-28	2023-05-04		Clivia yellow stripe virus		Potyviridae	Potyvirus		
NC_077084.1	2875869	Sweetbriar rose curly top-associated virus	Waikavirus rosae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	13199	complete	Sweetbriar rose curly top-associated virus isolate Simons Hill, complete genome	New Zealand		Rosa rubiginosa		2016-12	2023-05-04		sweetbriar rose curly top-associated virus		Secoviridae	Waikavirus		
NC_077096.1	2838076	Agapanthus carlavirus B	Carlavirus betagapanthi		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	8780	complete	Agapanthus carlavirus B strain Stellenbosch, complete genome	South Africa		Agapanthus		2019-11-06	2023-05-04		Agapanthus carlavirus B		Betaflexiviridae	Carlavirus		
NC_077103.1	2899887	Camellia virus A	Waikavirus camelliae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	12570	complete	Camellia virus A, complete genome	China		Camellia sp.		2018-09-17	2023-05-04		camellia virus A		Secoviridae	Waikavirus		
NC_077104.1	2820912	Marigold mosaic virus	Potyvirus tagetis		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	9841	complete	Marigold mosaic virus isolate BJ, complete genome	China		Calendula	plant leaf	2018-08	2023-05-04		Marigold mosaic virus		Potyviridae	Potyvirus		
NC_077105.1	2839003	Actinidia cytorhabdovirus JS27	Actinidia cytorhabdovirus JS27		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	RNA	13589	complete	Actinidia cytorhabdovirus JS27, complete genome	China		Actinidia deliciosa		2016-05	2023-05-04							
NC_077108.1	2878269	Metaplexis yellow mottle-associated virus	Caulimovirus metaplexis		RefSeq	NonSegmented_Complete	circular	dsDNA-RT	DNA	7733	complete	Metaplexis yellow mottle-associated virus isolate LM-Cau-A, complete genome	China: Shenyang		Cynanchum rostellatum		2019-06-29	2023-05-04		Metaplexis yellow mottle-associated virus		Caulimoviridae	Caulimovirus		
NC_077118.1	2871166	Scorzonera virus A	Potyvirus scorzaureum		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	9867	complete	Scorzonera virus A isolate SK, complete genome	South Korea		Takhtajaniantha austriaca		2020-06-24	2023-05-04		Scorzonera virus A		Potyviridae	Potyvirus		
NC_077151.1	2903266	Cnidium virus 1	Betanucleorhabdovirus cnidii		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	RNA	14002	complete	Cnidium virus 1 isolate SK, complete genome	South Korea		Conioselinum officinale		2021-05-05	2023-05-04		Cnidium virus 1		Rhabdoviridae	Betanucleorhabdovirus		
NC_077152.1	2913660	Hogweed virus 4	Chordovirus tetraheraclei		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	8301	complete	Hogweed virus 4 isolate HV4, complete genome	United Kingdom		Chenopodium quinoa		1987	2023-05-04		hogweed virus 4		Betaflexiviridae	Chordovirus		
NC_077162.1	3071210	Musa ornata-associated banmivirus	Banmivirus musornatae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	7364	complete	Musa ornata associated banmivirus, complete genome	Thailand				1988-11-28	2023-05-04		Musa ornata-associated banmivirus		Betaflexiviridae	Banmivirus		
NC_077165.1	2908099	Chinaberry tree badnavirus 1	Badnavirus meliae		RefSeq	NonSegmented_Complete	circular	dsDNA-RT	DNA	7018	complete	Chinaberry tree badnavirus 1 strain Zhejiang, complete genome	China		Melia azedarach		2019-05	2023-05-04		chinaberry tree badnavirus 1		Caulimoviridae	Badnavirus		
NC_077193.1	2912606	Artemisia capillaris nucleorhabdovirus 1	Alphanucleorhabdovirus artemisiae		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	RNA	13939	complete	MAG: Artemisia capillaris nucleorhabovirus 1 isolate YK, complete genome	Japan: Kizu River, Kyoto Prefecture		Artemisia capillaris		2016	2023-05-04		Artemisia capillaris nucleorhabdovirus 1		Rhabdoviridae	Alphanucleorhabdovirus		
NC_040794.1	1883104	Adonis mosaic virus	Alphacarmovirus adonis		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	3991	complete	Adonis mosaic virus DNA, complete genome, isolate: HSP-2	Japan:Saitama, Ogawa		Adonis ramosa			2021-06-01		Adonis mosaic virus		Tombusviridae	Alphacarmovirus		
NC_055124.1	435487	Honeysuckle yellow vein mosaic virus-[Japan:Miyazaki:2001]	Begomovirus solanumjapanense		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	DNA	2759	complete	Honeysuckle yellow vein mosaic virus-[Japan:Miyazaki:2001] DNA, complete genome	Japan: Miyazaki		Solanum lycopersicum		2001	2021-06-01		tomato leaf curl Japan virus		Geminiviridae	Begomovirus		
NC_055129.1	2560636	Pepper vein yellows virus 2	Polerovirus PEVYV2		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	6028	complete	Pepper vein yellows virus 2 isolate Is, complete genome	Israel		Capsicum annuum		2002-10	2021-06-01		pepper vein yellows virus 2		Solemoviridae	Polerovirus		
NC_055132.1	2560350	Blechum yellow vein virus	Begomovirus blechumflavi		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	DNA	2764	complete	Blechum yellow vein virus isolate W1, complete genome	Philippines		Ruellia blechum		2012-02-20	2021-06-01		Blechum yellow vein virus		Geminiviridae	Begomovirus		
NC_055177.1	2491018	Air potato virus 1	Ampelovirus bulbiferae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	13398	complete	Air potato virus 1 isolate APV1-FL, complete genome	USA		Dioscorea bulbifera		2017-03	2021-06-01		air potato ampelovirus 1		Closteroviridae	Ampelovirus		
NC_055236.1	1512278	Aglaonema bacilliform virus	Badnavirus aglaonemae		RefSeq	NonSegmented_Complete	circular	dsDNA-RT	DNA	7178	complete	Aglaonema bacilliform virus isolate Minnesota, complete genome	USA		Aglaonema modestum			2021-06-01		Aglaonema bacilliform virus		Caulimoviridae	Badnavirus		
NC_055454.1	1168550	Maize yellow striate virus	Betacytorhabdovirus maysflavostriatis		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	RNA	12654	complete	Maize yellow striate virus, complete genome	Argentina		Zea mays			2021-06-01		maize yellow striate virus		Rhabdoviridae	Betacytorhabdovirus		
NC_055466.1	1905830	Physostegia chlorotic mottle virus	Alphanucleorhabdovirus physostegiae		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	RNA	13320	complete	Physostegia chlorotic mottle virus isolate PV-1182, complete genome	Austria		Physostegia		2014-07-30	2021-06-01		Physostegia chlorotic mottle virus		Rhabdoviridae	Alphanucleorhabdovirus		
NC_055469.1	1945850	Ash gourd yellow vein mosaic alphasatellite	Clecrusatellite benincasae		RefSeq	NonSegmented_Complete	linear	ssDNA	DNA	1413	complete	UNVERIFIED: Ash gourd yellow vein mosaic alphasatellite replication initiation protein-like gene, complete sequence	India		Benincasa hispida	plant leaf	2015-11-07	2021-06-01		ash gourd yellow vein mosaic alphasatellite		Alphasatellitidae	Clecrusatellite		
NC_055475.1	2030126	Eclipta yellow vein alphasatellite	Gosmusatellite ecliptae		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1342	complete	Eclipta yellow vein alphasatellite strain AlYVA-S3 clone AlYVA, complete sequence	Pakistan		Eclipta		2013-06	2021-06-01		eclipta yellow vein alphasatellite		Alphasatellitidae	Gosmusatellite		
NC_055476.1	2030909	Malvastrum yellow vein Lahore virus	Begomovirus malvastrumlahorense		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	ss-DNA	2752	complete	Malvastrum yellow vein Lahore virus isolate J47, complete genome	Pakistan: Lahore		Malvastrum coromandelianum	plant leaf	2013-08-04	2021-06-01		Malvastrum yellow vein Lahore virus		Geminiviridae	Begomovirus		
NC_055478.1	2048879	Tomato leaf curl Virudhunagar alphasatellite	Clecrusatellite solanumvirudhunagarense		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1361	complete	Tomato leaf curl Virudhunagar alphasatellite strain severe, complete sequence	India		Momordica charantia		2016-03-14	2021-06-01		tomato leaf curl Virudhunagar alphasatellite		Alphasatellitidae	Clecrusatellite		
NC_055479.1	2051550	Cabbage cytorhabdovirus 1	Alphacytorhabdovirus brassicicolae		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	ss-RNA	12949	complete	Cabbage cytorhabdovirus 1 strain FERA_050726, complete genome	United Kingdom		Brassica oleracea		2016	2021-06-01		cabbage cytorhabdovirus 1		Rhabdoviridae	Alphacytorhabdovirus		
NC_055480.1	2052606	Faba bean necrotic yellows virus associated alphasatellite 1	Subclovsatellite tunisifabae		RefSeq	NonSegmented_Complete	circular	ssDNA	ss-DNA	1005	complete	Faba bean necrotic yellows virus associated alphasatellite 1 isolate TN-Tuf9_1-2015, complete sequence	Tunisia		Vicia faba		2015	2021-06-01		faba bean necrotic yellows virus associated alphasatellite 1		Alphasatellitidae	Subclovsatellite		
NC_055481.1	2052838	Grapevine badnavirus 1	Badnavirus vitis		RefSeq	NonSegmented_Complete	circular	dsDNA-RT	DNA	7145	complete	Grapevine badnavirus 1 isolate VLJ-178.Gb1, complete genome	Croatia		Vitis vinifera		2015-08	2021-06-01		grapevine badnavirus 1		Caulimoviridae	Badnavirus		
NC_055482.1	2093224	Pistachio ampelovirus A	Ampelovirus pistaciae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	17357	complete	Pistachio ampelovirus A isolate W10, complete genome	USA		Pistacia vera		2016-10-01	2021-06-01		pistachio ampelovirus		Closteroviridae	Ampelovirus		
NC_055483.1	2734556	East Asian Passiflora distortion virus	Potyvirus passifloradistorti		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	9974	complete	East Asian Passiflora distortion virus gene for polyprotein, complete cds	Japan:Akita		Passiflora edulis		2013-03-23	2021-06-01		East Asian Passiflora distortion virus		Potyviridae	Potyvirus		
NC_055484.1	2152660	Wheat yellow striate virus	Alphanucleorhabdovirus tritici		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	ss-RNA	14486	complete	Wheat yellow striate virus isolate SX-HC nucleocapsid protein, putative phosphoprotein, P3 protein, matrix protein, glycoprotein, hypothetical protein P6, and probable RNA-dependent RNA polymerase genes, complete cds	China		Triticum aestivum		2016-05-30	2021-06-01		wheat yellow striate virus		Rhabdoviridae	Alphanucleorhabdovirus		
NC_055491.1	2175329	Yam chlorotic necrosis virus	Macluravirus dioscoreaflavinecrosis		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	8261	complete	Yam chlorotic necrosis virus isolate YCNV-YJish, complete genome	China		Dioscorea sp.		2016	2021-06-01		yam chlorotic necrosis virus		Potyviridae	Macluravirus		
NC_055492.1	2182585	Begomovirus agerasichuanense	Begomovirus agerasichuanense		RefSeq	NonSegmented_Complete	linear	ssDNA(+/-)	DNA	2749	complete	Ageratum leaf curl Sichuan virus isolate SC770, complete genome	China: Sichuan		Ageratum conyzoides		2016-11-30	2021-06-01		Ageratum leaf curl Sichuan virus		Geminiviridae	Begomovirus		
NC_055493.1	2212477	Macluravirus alipiniatessallati	Macluravirus alipiniatessallati		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	8213	complete	Alpinia oxyphylla mosaic virus isolate Alpo, complete genome	China		Alpinia oxyphylla		2017-06	2021-06-01		Alpinia oxyphylla mosaic virus		Potyviridae	Macluravirus		
NC_055494.1	2282485	Sweet potato leaf curl Hubei virus	Begomovirus ipomoeahubeiense		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	ss-DNA	2774	complete	Sweet potato leaf curl Hubei virus isolate Hubei22-2017, complete genome	China		Ipomoea batatas		2017-05-10	2021-06-01		sweet potato leaf curl Hubei virus		Geminiviridae	Begomovirus		
NC_055495.1	2283388	Faba bean polerovirus 1	Polerovirus FBPV		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	5631	complete	Faba bean polerovirus 1 strain 5253, complete genome	Australia		Vicia faba		2014-09-24	2021-06-01		faba bean polerovirus 1		Solemoviridae	Polerovirus		
NC_055496.1	2293720	Mashua virus Y	Potyvirus tropaeoli		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	9769	complete	Mashua virus Y isolate Cam polyprotein gene, complete cds	United Kingdom		Tropaeolum tuberosum		1984	2021-06-01		mashua virus Y		Potyviridae	Potyvirus		
NC_055497.1	2294149	Passiflora edulis symptomless virus	Roymovirus passifloralatentis		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	9952	complete	Passiflora edulis symptomless virus isolate PESV-Rehovot, complete genome	Israel		Passiflora edulis		2013	2021-06-01		Passiflora edulis symptomless virus		Potyviridae	Roymovirus		
NC_055498.1	2303151	Tomato leaf curl Mahe virus	Begomovirus solanummahense		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	DNA	2790	complete	Tomato leaf curl Mahe virus isolate Seychelles-Pralin-SC8-1b-2017, complete genome	Seychelles		Solanum lycopersicum		2017-07-26	2021-06-01		tomato leaf curl Mahé virus		Geminiviridae	Begomovirus		
NC_055501.1	2306727	Areca palm necrotic ringspot virus	Arepavirus arecae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	ss-RNA	9434	complete	Areca palm necrotic ringspot virus isolate XC1, complete genome	China		Areca catechu		2017-08	2021-06-01		areca palm necrotic ringspot virus		Potyviridae	Arepavirus		
NC_055503.1	2320870	Platycodon mild mottle virus	Potyvirus platycodonis		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	9556	complete	Platycodon mild mottle virus isolate Okcheon, complete genome	South Korea		Platycodon grandiflorus		2013-06-14	2021-06-01		Platycodon mild mottle virus		Potyviridae	Potyvirus		
NC_055504.1	2364291	Cytorhabdovirus caricae	Betacytorhabdovirus caricae		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	RNA	13469	complete	Papaya cytorhabdovirus isolate Los Rios_Ec, complete genome	Ecuador		Carica papaya		2017-07-01	2021-06-01		papaya virus E		Rhabdoviridae	Betacytorhabdovirus		
NC_055505.1	2487100	Yerba mate chlorosis-associated virus	Betacytorhabdovirus flaviyerbamate		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	ss-RNA	12595	complete	Yerba mate chlorosis-associated virus isolate Montecarlo, complete genome	Argentina		Ilex paraguariensis		2014-04-19	2021-06-01		yerba mate chlorosis-associated virus		Rhabdoviridae	Betacytorhabdovirus		
NC_055506.1	2491019	Dioscorea mosaic virus	Potyvirus dioscoreae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	9550	complete	Dioscorea mosaic virus isolate DMV-FL, complete genome	USA		Dioscorea bulbifera		2017-03	2021-06-01		Dioscorea mosaic virus		Potyviridae	Potyvirus		
NC_055507.1	2494552	Celery latent virus	Celavirus apii		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	11519	complete	Celery latent virus isolate Ag097, complete genome	Italy		Apium graveolens Secalinum Group			2021-06-01		celery latent virus		Potyviridae	Celavirus		
NC_055511.1	2496575	Emilia yellow vein Fujian virus	Begomovirus emiliafujianense		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	DNA	2734	complete	Emilia yellow vein Fujian virus isolate Zz01, complete genome	China: Fujian province		Emilia sonchifolia		2017-10-27	2021-06-01		Emilia yellow vein Fujian virus		Geminiviridae	Begomovirus		
NC_055512.1	2497337	Morogoro maize-associated virus	Alphanucleorhabdovirus morogoromaydis		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	RNA	12185	complete	Morogoro maize-associated virus isolate 16-0112 nucleocapsid protein, phosphoprotein, putative movement protein, matrix protein, glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	Tanzania		Zea mays		2015	2021-06-01		Morogoro maize-associated virus		Rhabdoviridae	Alphanucleorhabdovirus		
NC_055513.1	2518373	Pumpkin polerovirus	Polerovirus PUPV		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	5810	complete	Pumpkin polerovirus isolate PuPV, complete genome	Kenya		Cucurbita		2015-05-23	2021-06-01		pumpkin polerovirus		Solemoviridae	Polerovirus		
NC_055519.1	2557970	Maize streak dwarfing virus	Mastrevirus fulleri		RefSeq	NonSegmented_Complete	circular	ssDNA(+/-)	DNA	2842	complete	Maize streak dwarfing virus isolate MSDV-MV-1, complete genome	Ethiopia: Adama Zuria		Zea mays		2016-07	2021-06-01		maize streak dwarfing virus		Geminiviridae	Mastrevirus		
NC_055520.1	2562807	Dendrobium chlorotic mosaic virus	Potyvirus dendrobii		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	10041	complete	Dendrobium chlorotic mosaic virus isolate 98-De-31, complete genome	Taiwan: Nantou		Dendrobium smillieae		2009-12-30	2021-06-01		Dendrobium chlorotic mosaic virus		Potyviridae	Potyvirus		
NC_055529.1	758677	Raspberry vein chlorosis virus	Alphacytorhabdovirus alpharubi		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	RNA	14512	complete	Raspberry vein chlorosis virus isolate Hutton_1, complete genome	United Kingdom		Rubus idaeus		2017-11	2021-06-01		raspberry vein chlorosis virus		Rhabdoviridae	Alphacytorhabdovirus		
NC_055542.1	1417304	Potexvirus nesignambrosiae	Potexvirus nesignambrosiae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	7408	complete	Ambrosia asymptomatic virus 1 isolate 05TGP00321 putative RNA-dependent RNA polymerase, putative triple gene block protein 1, putative triple gene block protein 2, putative triple gene block protein 3, putative coat protein, and putative nucleic acid binding protein genes, complete cds	USA		Ambrosia psilostachya		2005-06-15	2021-06-01		Ambrosia asymptomatic virus 1		Alphaflexiviridae	Potexvirus		
NC_055545.1	1960887	Jasmine virus H	Pelarspovirus jasmini		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	3867	complete	Jasmine virus H isolate Fujian, complete genome	China: Fujian		Jasminum sambac		2015-10-16	2021-06-01		jasmine virus H		Tombusviridae	Pelarspovirus		
NC_055546.1	2510428	Cnidium virus X	Potexvirus ecscnidii		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	5964	complete	Cnidium virus X RNA, complete genome	Japan		Conioselinum officinale		2018	2021-06-01		Cnidium virus X		Alphaflexiviridae	Potexvirus		
NC_055547.1	2164175	Hibiscus vein enation betasatellite	Betasatellite hibiscusvenae		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1355	complete	Hibiscus vein enation betasatellite clone Hibbeta-22, complete sequence	Taiwan: Changhua		Hibiscus rosa-sinensis		2013-11	2021-06-01		Hibiscus vein enation betasatellite		Tolecusatellitidae	Betasatellite		
NC_055549.1	2172094	Codiaeum leaf curl betasatellite	Betasatellite codiaei		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1369	complete	Codiaeum leaf curl betasatellite isolate AA2, complete sequence	Pakistan		Codiaeum variegatum		2016-07	2021-06-01		Codiaeum leaf curl betasatellite		Tolecusatellitidae	Betasatellite		
NC_055550.1	2315478	Desmodium leaf distortion deltasatellite	Deltasatellite desmodii		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	666	complete	Desmodium leaf distortion deltasatellite isolate Cuba-Corchorus 704H1-2013, complete sequence	Cuba		Corchorus siliquosus		2013-12	2021-06-01		Desmodium leaf distortion deltasatellite		Tolecusatellitidae	Deltasatellite		
NC_055551.1	2161875	Coconut foliar decay alphasatellite 2	Cocosatellite niadamu		RefSeq	NonSegmented_Complete	circular	ssDNA	ss-DNA	1277	complete	Coconut foliar decay alphasatellite 2 isolate CFDA2-[VU-89], complete sequence	Vanuatu		Cocos nucifera	plant leaf	1989	2021-06-01		coconut foliar decay alphasatellite 2		Alphasatellitidae	Cocosatellite		
NC_055552.1	2161877	Coconut foliar decay alphasatellite 4	Cocosatellite kelapa		RefSeq	NonSegmented_Complete	circular	ssDNA	ss-DNA	1276	complete	Coconut foliar decay alphasatellite 4 isolate CFDA4-[VU-89], complete sequence	Vanuatu		Cocos nucifera	plant leaf	1989	2021-06-01		coconut foliar decay alphasatellite 4		Alphasatellitidae	Cocosatellite		
NC_055553.1	2161878	Coconut foliar decay alphasatellite 5	Cocosatellite popo		RefSeq	NonSegmented_Complete	circular	ssDNA	ss-DNA	1295	complete	Coconut foliar decay alphasatellite 5 isolate CFDA5-[VU-89], complete sequence	Vanuatu		Cocos nucifera	plant leaf	1989	2021-06-01		coconut foliar decay alphasatellite 5		Alphasatellitidae	Cocosatellite		
NC_055560.1	2496574	Emilia yellow vein Fujian betasatellite	Betasatellite emiliafujianense		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1333	complete	Emilia yellow vein Fujian betasatellite isolate Zz01, complete sequence	China: Fujian province		Emilia sonchifolia		2017-10-27	2021-06-01		Emilia yellow vein Fujian betasatellite		Tolecusatellitidae	Betasatellite		
NC_055562.1	2528410	Polyscias mosaic virus	Badnavirus tessellopolysciatis		RefSeq	NonSegmented_Complete	circular	dsDNA-RT	DNA	7592	complete	Polyscias mosaic virus isolate AR3, complete genome	USA		Polyscias fruticosa		2017-10-01	2021-06-01		Polyscias mosaic virus		Caulimoviridae	Badnavirus		
NC_055563.1	2601256	Tomato leaf curl Anand alphasatellite	Clecrusatellite solanumanandense		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	1336	complete	Tomato leaf curl Anand alphasatellite clone pBamA15, complete sequence	India: Anand, Gujarat		Solanum lycopersicum	plant leaf	2016-01-11	2021-06-01		tomato leaf curl Anand alphasatellite		Alphasatellitidae	Clecrusatellite		
NC_055564.1	2518104	Patrinia mild mottle virus	Umbravirus patriniae		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	4214	complete	Patrinia mild mottle virus, complete genome	South Korea		Patrinia scabiosifolia		2014-05-02	2021-06-01		Patrinia mild mottle virus		Tombusviridae	Umbravirus		
NC_055565.1	2558065	Parsley severe stunt alphasatellite 3	Mivedwarsatellite petroselini		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	986	complete	Parsley severe stunt alphasatellite 3 isolate PSSA3-Pa21, complete genome	Germany: Cremlingen		Petroselinum crispum		2017-10-02	2021-06-01		Parsley severe stunt alphasatellite 3		Alphasatellitidae	Mivedwarsatellite		
NC_055566.1	2558066	Parsley severe stunt alphasatellite 4	Mivedwarsatellite petrocremlingense		RefSeq	NonSegmented_Complete	circular	ssDNA	DNA	990	complete	Parsley severe stunt alphasatellite 4 isolate PSSA4-Pa21, complete genome	Germany: Cremlingen		Petroselinum crispum		2017-10-02	2021-06-01		Parsley severe stunt alphasatellite 4		Alphasatellitidae	Mivedwarsatellite		
NC_055567.1	2676436	Cytorhabdovirus fragariae	Alphacytorhabdovirus alphafragariae		RefSeq	NonSegmented_Complete	linear	ssRNA(-)	RNA	14028	complete	Strawberry cytorhabdovirus 1 isolate B, complete genome	Czech Republic		Fragaria x ananassa	plant leaf	2016	2021-06-01		strawberry-associated virus 1		Rhabdoviridae	Alphacytorhabdovirus		
NC_055568.1	2591696	Costus stripe mosaic virus	Potyvirus costus		RefSeq	NonSegmented_Complete	linear	ssRNA(+)	RNA	9446	complete	Costus stripe mosaic virus isolate BR1, complete genome	Brazil		Costus spiralis	plant leaf	2017-03	2021-06-01		Costus stripe mosaic virus		Potyviridae	Potyvirus		
